┌─────────┬───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┬───────────────────────────────────────────────────────────────┐
│ (index) │ file                                                                                                                          │ storedProcedureName                                           │
├─────────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┼───────────────────────────────────────────────────────────────┤
│ 0       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.Georeferenciador\\DaoGeoreferenciador.cs'                                            │ 'spLnGEOUpdMensajeNotificacion'                               │
│ 1       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.Georeferenciador\\DaoGeoreferenciador.cs'                                            │ 'spMONHORSelConsultarPAPOperando'                             │
│ 2       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.Georeferenciador\\DaoGeoreferenciador.cs'                                            │ 'spCAJUpdGuardarDatosMaquina'                                 │
│ 3       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.HuellaPago\\DaoHuellaPago.cs'                                                        │ 'spHUEPAGInsHuellaPago'                                       │
│ 4       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'SpLnSINSelControlSincronizacion'                             │
│ 5       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'SpLnSINSelControlSincronizacion'                             │
│ 6       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'SpLnSINSelControlSincronizacion'                             │
│ 7       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'spSEGUpdEsNuevaVersionPS'                                    │
│ 8       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'spLnSINUpdActualizaFechaSincronizacion'                      │
│ 9       │ 'C:\\Dev\\Efecty.SiewebLive\\AccesoDatos.TablasBasicas\\TablasBasicasDao.cs'                                                  │ 'spCRESelSincronizaCache'                                     │
│ 10      │ 'C:\\Dev\\Efecty.SiewebLive\\Efecty.AlertasVentas.Servicio\\Componentes\\Efecty.AlertasVentas.AccesoDatos\\DAO\\DaoAlerta.cs' │ 'spProVenSelConsultarTope'                                    │
│ 11      │ 'C:\\Dev\\Efecty.SiewebLive\\Efecty.AlertasVentas.Servicio\\Componentes\\Efecty.AlertasVentas.AccesoDatos\\DAO\\DaoAlerta.cs' │ 'spProVenSelConsultarSaldo'                                   │
│ 12      │ 'C:\\Dev\\Efecty.SiewebLive\\Efecty.AlertasVentas.Servicio\\Componentes\\Efecty.AlertasVentas.AccesoDatos\\DAO\\DaoAlerta.cs' │ 'spProVenUpdAfectarSaldo'                                     │
│ 13      │ 'C:\\Dev\\Efecty.SiewebLive\\Efecty.ServicioHuellas.AccesoDatos\\DaoServicioHuellas.cs'                                       │ 'SpLnCAJRegistrarHuella'                                      │
│ 14      │ 'C:\\Dev\\Efecty.SiewebLive\\Efecty.ServicioHuellas.AccesoDatos\\DaoServicioHuellas.cs'                                       │ 'SpUSUSelHuella'                                              │
│ 15      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Auditoria\\Integraciones\\DaoAuditoria.cs'                                   │ 'spInsAuditoriaIntegraciones'                                 │
│ 16      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Auditoria\\Integraciones\\V2\\DaoAuditoria.cs'                               │ 'spInsAuditoriaIntegracion'                                   │
│ 17      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Auditoria\\Integraciones\\V2\\DaoAuditoria.cs'                               │ 'spAUDINTCBInsAuditoriaIntegracionCB'                         │
│ 18      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Auditoria\\Integraciones\\V2\\DaoAuditoria.cs'                               │ 'spAUDINTLOTInsAuditoriaIntegracionLOT'                       │
│ 19      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Auditoria\\Integraciones\\V2\\DaoAuditoria.cs'                               │ 'spAUDRECInsAuditoriaRecomendacion'                           │
│ 20      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\AccesoDatos\\GiroEmpresarialDaoInstrumentacion.cs'          │ 'spAUDInsInstrumentacionGE'                                   │
│ 21      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\AccesoDatos\\GiroEmpresarialDaoInstrumentacion.cs'          │ 'spAUDInsExcepcionesGE'                                       │
│ 22      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\AccesoDatos\\PortalEmpSateliteDaoInstrumentacion.cs'        │ 'spAUDInsInstrumentacionPES'                                  │
│ 23      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\AccesoDatos\\PortalEmpSateliteDaoInstrumentacion.cs'        │ 'spAUDInsExcepcionesPES'                                      │
│ 24      │ 'C:\\Dev\\Efecty.SiewebLive\\Framework.Gestores\\Instrumentacion\\AccesoDatos\\SiewebLiveDaoInstrumentacion.cs'               │ 'spLnAUDInsInstrumentacion'                                   │
